age,g,pa,ab,h,hr,rbi,so,ba,obp,slg,ops,ops_ps,tb
28,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
32,130,453,384,83,8,40,109,0.216,0.330,0.313,0.642,86,120
30,157,696,570,177,62,131,175,0.311,0.425,0.686,1.111,211,391
25,5,11,11,0,0,0,5,0.000,0.000,0.000,0.000,-100,0
33,15,37,35,9,1,2,12,0.257,0.297,0.400,0.697,92,14
25,109,352,324,60,10,35,65,0.185,0.239,0.324,0.563,63,105
26,15,54,50,7,0,3,20,0.140,0.204,0.140,0.344,0,7
33,86,315,287,61,12,36,101,0.213,0.276,0.401,0.677,87,115
30,119,260,245,55,2,17,76,0.224,0.269,0.310,0.579,64,76
30,156,602,541,129,3,42,73,0.238,0.301,0.311,0.612,80,168
26,14,25,21,5,0,2,7,0.238,0.333,0.238,0.571,66,5
24,113,470,398,101,13,42,86,0.254,0.362,0.445,0.806,128,177
29,156,657,605,151,27,101,183,0.250,0.300,0.456,0.756,113,276
25,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
34,138,527,489,120,14,56,98,0.245,0.292,0.389,0.681,91,190
23,73,225,201,41,2,9,64,0.204,0.289,0.269,0.558,65,54
26,35,125,118,32,4,17,31,0.271,0.312,0.424,0.736,95,50
26,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
26,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
28,64,235,215,48,5,29,46,0.223,0.282,0.349,0.631,71,75
42,109,351,307,83,24,68,55,0.270,0.345,0.550,0.895,154,169
35,40,131,124,27,0,8,32,0.218,0.260,0.282,0.542,58,35
25,152,631,586,164,13,72,110,0.280,0.315,0.398,0.713,100,233
23,16,53,48,9,1,3,9,0.188,0.264,0.271,0.535,56,13
30,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
31,92,327,305,74,12,38,53,0.243,0.287,0.403,0.691,95,123
23,139,541,470,134,14,63,58,0.285,0.372,0.415,0.786,126,195
26,59,156,145,38,1,10,21,0.262,0.314,0.331,0.645,76,48
22,113,411,381,88,8,39,74,0.231,0.275,0.344,0.619,76,131
28,155,656,548,142,23,93,77,0.259,0.366,0.454,0.820,133,249
27,160,685,597,162,40,131,128,0.271,0.352,0.518,0.869,146,309
27,153,599,529,116,35,89,121,0.219,0.306,0.461,0.767,115,244
27,157,666,586,160,34,95,161,0.273,0.356,0.519,0.875,145,304
33,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
32,13,36,33,4,1,2,9,0.121,0.194,0.212,0.407,14,7
26,5,12,12,3,0,0,7,0.250,0.250,0.250,0.500,44,3
24,45,156,144,36,3,21,36,0.250,0.290,0.361,0.651,88,52
26,152,644,593,166,11,74,86,0.280,0.328,0.405,0.732,102,240
25,101,287,251,59,3,25,87,0.235,0.322,0.307,0.628,80,77
26,153,670,637,180,11,71,111,0.283,0.312,0.403,0.715,106,257
27,152,647,574,138,33,89,122,0.240,0.318,0.455,0.773,117,261
32,34,85,75,13,0,7,13,0.173,0.244,0.187,0.431,25,14
23,146,557,491,146,17,69,112,0.297,0.371,0.466,0.837,141,229
30,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
27,145,614,542,142,27,62,141,0.262,0.345,0.461,0.807,126,250
27,137,578,508,132,24,87,96,0.260,0.343,0.465,0.807,120,236
27,136,590,522,152,22,64,121,0.291,0.366,0.467,0.834,140,244
30,16,46,39,5,0,4,12,0.128,0.239,0.154,0.393,15,6
30,14,42,35,5,0,4,9,0.143,0.262,0.171,0.433,27,6
30,11,35,31,4,0,2,9,0.129,0.229,0.161,0.390,13,5
30,2,4,4,0,0,0,3,0.000,0.000,0.000,0.000,-100,0
30,3,7,4,1,0,2,0,0.250,0.429,0.250,0.679,99,1
27,153,645,586,154,20,89,156,0.263,0.327,0.445,0.773,124,261
35,134,580,515,122,17,69,124,0.237,0.316,0.384,0.700,99,198
23,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
24,134,555,510,138,17,76,96,0.271,0.321,0.429,0.750,111,219
27,153,597,529,130,20,67,158,0.246,0.327,0.414,0.741,98,219
29,40,128,119,26,1,9,21,0.218,0.273,0.277,0.551,59,33
27,140,613,551,151,20,83,94,0.274,0.338,0.436,0.774,125,240
34,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
34,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
32,22,59,52,6,1,1,17,0.115,0.207,0.212,0.418,20,11
32,47,193,166,38,5,24,35,0.229,0.326,0.380,0.706,101,63
32,130,548,465,104,32,75,101,0.224,0.338,0.480,0.817,131,223
27,148,612,537,134,18,66,124,0.250,0.332,0.426,0.759,120,229
29,47,115,108,23,1,4,34,0.213,0.248,0.259,0.507,38,28
28,80,276,259,51,10,30,101,0.197,0.246,0.363,0.609,63,94
28,5,16,14,1,0,0,9,0.071,0.188,0.071,0.259,-20,1
32,62,212,179,38,8,26,37,0.212,0.324,0.380,0.704,94,68
28,3,9,8,3,0,0,0,0.375,0.444,0.375,0.819,136,3
26,145,582,535,134,16,60,114,0.250,0.306,0.413,0.719,103,221
29,105,338,294,48,7,30,78,0.163,0.241,0.248,0.489,42,73
27,158,641,573,155,17,72,149,0.271,0.342,0.440,0.781,119,252
32,110,397,347,87,4,40,60,0.251,0.321,0.329,0.649,91,114
25,159,693,615,168,38,93,168,0.273,0.349,0.528,0.878,142,325
33,51,136,129,20,3,9,46,0.155,0.187,0.248,0.435,19,32
33,48,127,121,18,3,9,43,0.149,0.183,0.248,0.430,17,30
33,37,99,95,14,3,9,36,0.147,0.173,0.263,0.437,17,25
33,3,9,8,2,0,0,3,0.250,0.250,0.250,0.500,43,2
33,11,28,26,4,0,0,7,0.154,0.214,0.192,0.407,19,5
29,125,325,277,73,7,34,89,0.264,0.366,0.408,0.774,119,113
31,65,177,162,42,3,21,38,0.259,0.313,0.358,0.671,90,58
31,98,380,357,80,8,35,109,0.224,0.266,0.317,0.582,65,113
27,156,672,608,157,16,64,126,0.258,0.318,0.403,0.721,104,245
30,115,423,371,86,9,46,98,0.232,0.324,0.369,0.693,96,137
31,37,23,20,1,0,0,12,0.050,0.136,0.050,0.186,-43,1
31,20,15,13,1,0,0,8,0.077,0.143,0.077,0.220,-35,1
31,17,8,7,0,0,0,4,0.000,0.125,0.000,0.125,-59,0
27,127,450,406,92,16,48,87,0.227,0.298,0.399,0.697,98,162
26,39,123,113,20,1,7,31,0.177,0.244,0.265,0.509,44,30
24,159,697,652,189,24,93,155,0.290,0.333,0.469,0.802,127,306
22,5,8,8,0,0,0,5,0.000,0.000,0.000,0.000,-100,0
26,8,17,17,2,0,0,9,0.118,0.118,0.118,0.235,-31,2
27,72,248,215,56,15,44,44,0.260,0.339,0.516,0.855,141,111
22,150,632,591,150,20,80,135,0.254,0.294,0.428,0.722,102,253
32,81,241,222,47,7,32,70,0.212,0.270,0.320,0.590,69,71
29,109,117,105,13,2,5,45,0.124,0.207,0.229,0.435,25,24
29,100,101,89,9,2,5,41,0.101,0.200,0.213,0.413,19,19
29,9,16,16,4,0,0,4,0.250,0.250,0.313,0.563,58,5
34,78,298,254,54,8,23,81,0.213,0.326,0.350,0.676,92,89
35,118,458,407,94,9,52,98,0.231,0.308,0.344,0.652,85,140
30,5,14,14,3,0,1,5,0.214,0.214,0.286,0.500,45,4
29,138,568,518,136,28,87,126,0.263,0.320,0.492,0.813,122,255
29,92,385,350,96,20,59,84,0.274,0.335,0.520,0.855,128,182
29,46,183,168,40,8,28,42,0.238,0.290,0.435,0.724,109,73
26,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
27,96,383,334,76,14,58,103,0.228,0.308,0.392,0.700,101,131
24,134,461,424,104,11,52,158,0.245,0.295,0.384,0.679,91,163
24,93,323,292,66,8,37,117,0.226,0.284,0.353,0.637,80,103
24,41,138,132,38,3,15,41,0.288,0.319,0.455,0.773,116,60
29,151,673,580,159,16,64,116,0.274,0.367,0.433,0.800,130,251
25,126,468,391,110,5,45,70,0.281,0.394,0.379,0.773,126,148
25,137,581,527,140,13,63,101,0.266,0.325,0.408,0.733,96,215
24,3,11,10,2,0,0,3,0.200,0.273,0.200,0.473,42,2
27,111,446,397,104,14,46,110,0.262,0.336,0.433,0.770,116,172
27,119,407,359,88,14,44,106,0.245,0.332,0.407,0.738,110,146
27,153,630,577,153,13,57,111,0.265,0.324,0.400,0.725,108,231
22,11,42,38,7,2,5,8,0.184,0.244,0.342,0.586,67,13
27,150,533,494,109,13,50,147,0.221,0.267,0.379,0.646,81,187
28,83,225,201,29,5,15,94,0.144,0.217,0.249,0.466,36,50
28,75,208,184,27,5,14,85,0.147,0.225,0.250,0.475,40,46
28,8,17,17,2,0,1,9,0.118,0.118,0.235,0.353,-3,4
26,6,4,4,0,0,0,4,0.000,0.000,0.000,0.000,-100,0
29,98,383,338,75,8,28,101,0.222,0.311,0.346,0.657,87,117
28,2,4,3,1,0,0,2,0.333,0.500,0.333,0.833,152,1
27,94,383,346,73,13,34,104,0.211,0.287,0.376,0.663,92,130
25,115,355,329,83,13,43,90,0.252,0.294,0.432,0.725,103,142
23,6,15,12,1,0,0,4,0.083,0.267,0.083,0.350,8,1
27,104,433,397,84,12,51,114,0.212,0.273,0.353,0.626,76,140
34,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
29,99,426,370,106,18,65,87,0.286,0.364,0.514,0.877,145,190
26,11,19,18,2,0,2,7,0.111,0.158,0.111,0.269,-22,2
24,127,466,427,100,10,49,89,0.234,0.295,0.358,0.653,84,153
24,55,181,170,45,1,9,56,0.265,0.302,0.312,0.613,77,53
23,30,94,83,18,1,12,23,0.217,0.287,0.325,0.613,75,27
28,92,382,340,76,28,51,116,0.224,0.306,0.526,0.833,135,179
32,150,632,575,148,29,102,164,0.257,0.315,0.468,0.783,107,269
25,119,415,370,78,27,63,122,0.211,0.284,0.489,0.774,122,181
25,23,71,60,10,0,1,23,0.167,0.261,0.217,0.478,42,13
27,117,353,317,68,12,39,118,0.215,0.283,0.369,0.652,80,117
35,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
23,69,232,212,48,5,17,52,0.226,0.286,0.349,0.635,79,74
29,18,47,42,9,0,5,13,0.214,0.267,0.333,0.600,69,14
23,3,7,5,1,0,0,0,0.200,0.429,0.400,0.829,137,2
27,68,247,216,56,12,28,54,0.259,0.344,0.468,0.812,118,101
29,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
25,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
25,7,18,18,4,0,2,2,0.222,0.222,0.333,0.556,55,6
36,131,506,431,87,19,60,88,0.202,0.316,0.376,0.692,100,162
36,79,294,255,49,15,39,60,0.192,0.293,0.400,0.693,101,102
36,52,212,176,38,4,21,28,0.216,0.349,0.341,0.690,97,60
27,125,349,322,63,9,28,119,0.196,0.236,0.304,0.540,53,98
27,67,234,209,51,9,30,51,0.244,0.316,0.416,0.733,104,87
27,84,275,242,53,8,29,92,0.219,0.300,0.397,0.697,92,96
32,147,617,560,139,1,34,114,0.248,0.311,0.318,0.629,84,178
30,111,379,361,85,12,42,118,0.235,0.263,0.385,0.648,86,139
30,12,40,35,5,1,4,9,0.143,0.231,0.257,0.488,39,9
27,65,266,235,52,8,25,61,0.221,0.308,0.383,0.691,102,90
26,48,169,156,41,4,11,53,0.263,0.320,0.404,0.723,104,63
35,135,577,530,140,16,78,109,0.264,0.314,0.419,0.733,95,222
33,68,124,115,29,2,12,31,0.252,0.283,0.357,0.640,83,41
27,135,491,449,120,7,51,68,0.267,0.322,0.370,0.692,99,166
31,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
36,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
36,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
27,104,354,317,67,7,35,71,0.211,0.282,0.334,0.617,76,106
30,26,68,56,6,0,0,24,0.107,0.254,0.143,0.397,17,8
31,118,454,402,89,10,43,160,0.221,0.304,0.373,0.677,86,150
27,145,603,518,126,6,42,80,0.243,0.339,0.336,0.675,100,174
30,100,333,318,80,11,34,80,0.252,0.283,0.409,0.692,100,130
30,44,151,149,38,7,15,39,0.255,0.265,0.436,0.701,101,65
30,56,182,169,42,4,19,41,0.249,0.298,0.385,0.683,98,65
29,4,10,9,0,0,0,5,0.000,0.100,0.000,0.100,-67,0
31,119,426,398,109,9,52,69,0.274,0.315,0.399,0.714,99,159
31,84,318,294,83,8,42,51,0.282,0.327,0.432,0.759,109,127
31,35,108,104,26,1,10,18,0.250,0.278,0.308,0.585,68,32
31,160,667,583,141,36,94,131,0.242,0.327,0.477,0.804,126,278
30,154,671,575,145,14,57,162,0.252,0.355,0.383,0.738,111,220
23,113,425,379,89,16,47,137,0.235,0.308,0.433,0.741,107,164
27,120,435,403,121,6,58,72,0.300,0.343,0.404,0.747,119,163
26,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
21,90,302,284,70,2,21,50,0.246,0.280,0.324,0.604,76,92
21,46,139,125,29,2,11,27,0.232,0.285,0.320,0.605,77,40
21,44,163,159,41,0,10,23,0.258,0.276,0.327,0.603,75,52
26,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
26,144,550,504,106,19,68,150,0.210,0.265,0.389,0.654,78,196
27,97,303,257,52,6,24,85,0.202,0.318,0.350,0.668,92,90
32,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
25,18,63,63,11,0,2,25,0.175,0.175,0.222,0.397,11,14
29,42,128,109,23,5,23,30,0.211,0.305,0.376,0.681,84,41
26,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
25,22,59,52,16,3,11,10,0.308,0.356,0.519,0.875,151,27
25,13,40,35,13,2,9,8,0.371,0.425,0.600,1.025,196,21
25,9,19,17,3,1,2,2,0.176,0.211,0.353,0.563,59,6
29,111,467,404,96,7,28,97,0.238,0.338,0.359,0.697,88,145
26,27,56,48,9,1,7,16,0.188,0.273,0.313,0.585,63,15
27,87,300,280,80,6,36,49,0.286,0.322,0.414,0.736,103,116
21,32,115,104,27,4,14,31,0.260,0.330,0.500,0.830,133,52
33,96,297,281,75,6,36,48,0.267,0.300,0.399,0.698,100,112
28,151,663,593,145,33,83,103,0.245,0.317,0.455,0.772,119,270
31,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
34,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
23,91,260,241,40,3,18,70,0.166,0.218,0.241,0.459,34,58
33,57,176,148,30,5,17,50,0.203,0.318,0.331,0.649,86,49
33,41,126,108,25,4,14,36,0.231,0.325,0.370,0.696,97,40
33,16,50,40,5,1,3,14,0.125,0.300,0.225,0.525,58,9
29,5,7,7,2,0,2,4,0.286,0.286,0.286,0.571,63,2
26,14,28,21,7,1,5,7,0.333,0.500,0.476,0.976,179,10
37,3,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
25,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
29,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
29,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
29,130,461,386,92,18,59,114,0.238,0.360,0.433,0.793,125,167
29,75,278,237,54,12,34,67,0.228,0.338,0.430,0.769,116,102
29,55,183,149,38,6,25,47,0.255,0.393,0.436,0.830,139,65
27,62,205,187,38,6,16,44,0.203,0.261,0.332,0.593,58,62
28,31,106,97,28,3,15,23,0.289,0.343,0.443,0.786,121,43
28,162,696,640,177,25,96,182,0.277,0.329,0.447,0.776,115,286
26,41,142,136,34,9,16,44,0.250,0.282,0.522,0.804,121,71
35,118,388,334,68,11,45,105,0.204,0.307,0.338,0.645,83,113
35,90,314,268,58,11,38,85,0.216,0.328,0.373,0.701,98,100
35,28,74,66,10,0,7,20,0.152,0.216,0.197,0.413,20,13
25,151,592,531,125,27,74,145,0.235,0.302,0.443,0.745,109,235
26,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
27,30,91,81,20,6,20,30,0.247,0.319,0.506,0.825,132,41
29,41,127,116,30,4,12,45,0.259,0.315,0.431,0.746,109,50
28,61,228,216,55,2,17,16,0.255,0.288,0.333,0.621,77,72
26,16,34,29,10,1,5,6,0.345,0.441,0.586,1.027,191,17
27,126,521,461,140,5,51,77,0.304,0.373,0.399,0.772,120,184
27,110,420,373,86,5,25,76,0.231,0.296,0.306,0.601,64,114
27,104,265,243,52,5,24,30,0.214,0.252,0.313,0.565,60,76
34,134,490,439,110,12,59,114,0.251,0.316,0.415,0.731,109,182
34,87,310,278,69,12,41,74,0.248,0.316,0.460,0.777,118,128
34,47,180,161,41,0,18,40,0.255,0.317,0.335,0.652,92,54
36,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
37,2,1,1,0,0,0,1,0.000,0.000,0.000,0.000,-100,0
37,2,1,1,0,0,0,1,0.000,0.000,0.000,0.000,-100,0
25,52,181,156,36,9,24,58,0.231,0.331,0.455,0.787,120,71
25,21,70,64,14,1,8,20,0.219,0.286,0.344,0.629,83,22
34,22,59,59,18,0,2,8,0.305,0.305,0.356,0.661,92,21
26,31,92,83,19,1,3,28,0.229,0.270,0.289,0.559,64,24
24,39,125,116,24,5,20,55,0.207,0.264,0.388,0.652,88,45
31,5,6,6,0,0,0,3,0.000,0.000,0.000,0.000,-100,0
32,63,232,214,45,1,19,36,0.210,0.263,0.304,0.567,60,65
24,96,283,262,54,11,29,75,0.206,0.251,0.382,0.633,76,100
28,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
28,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
29,8,14,11,1,0,0,6,0.091,0.286,0.091,0.377,15,1
30,5,17,15,3,0,0,5,0.200,0.294,0.200,0.494,44,3
33,125,541,467,122,12,46,71,0.261,0.357,0.377,0.734,111,176
28,3,3,3,0,0,0,2,0.000,0.000,0.000,0.000,-100,0
27,57,185,166,33,5,14,52,0.199,0.273,0.361,0.635,78,60
27,47,131,114,27,5,13,30,0.237,0.336,0.412,0.748,116,47
26,3,4,3,0,0,0,1,0.000,0.250,0.000,0.250,-20,0
34,80,304,278,79,4,24,61,0.284,0.339,0.385,0.724,97,107
28,25,78,76,12,1,8,16,0.158,0.179,0.303,0.482,33,23
28,24,78,76,12,1,8,16,0.158,0.179,0.303,0.482,33,23
28,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
26,7,17,16,3,0,1,7,0.188,0.235,0.250,0.485,40,4
26,6,14,13,2,0,1,6,0.154,0.214,0.231,0.445,27,3
26,1,3,3,1,0,0,1,0.333,0.333,0.333,0.667,97,1
28,3,3,3,0,0,0,1,0.000,0.000,0.000,0.000,-100,0
31,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
23,32,109,96,23,5,18,40,0.240,0.324,0.479,0.803,124,46
34,8,11,10,3,0,1,4,0.300,0.364,0.400,0.764,124,4
23,128,488,432,102,8,42,94,0.236,0.316,0.380,0.695,100,164
25,4,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
31,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
29,104,255,205,46,6,24,75,0.224,0.368,0.385,0.753,122,79
30,80,270,250,53,5,24,68,0.212,0.259,0.328,0.587,64,82
32,14,27,25,4,0,3,9,0.160,0.154,0.160,0.314,-13,4
26,78,190,176,40,2,21,50,0.227,0.275,0.369,0.644,83,65
26,25,59,54,17,2,13,12,0.315,0.345,0.593,0.937,159,32
26,53,131,122,23,0,8,38,0.189,0.244,0.270,0.515,49,33
33,136,542,495,119,20,69,129,0.240,0.295,0.430,0.726,106,213
26,53,174,161,46,4,15,36,0.286,0.333,0.410,0.743,110,66
28,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
28,27,92,86,21,7,17,36,0.244,0.293,0.500,0.793,114,43
22,7,6,5,1,0,0,2,0.200,0.333,0.200,0.533,62,1
32,37,110,97,17,0,7,25,0.175,0.264,0.206,0.470,39,20
32,31,94,84,15,0,7,22,0.179,0.255,0.202,0.458,36,17
32,6,16,13,2,0,0,3,0.154,0.313,0.231,0.543,56,3
23,53,185,176,41,6,20,60,0.233,0.270,0.432,0.702,85,76
28,47,117,105,21,3,10,41,0.200,0.274,0.305,0.578,66,32
31,105,381,351,80,9,51,82,0.228,0.281,0.368,0.648,73,129
27,35,115,102,25,5,13,26,0.245,0.330,0.441,0.772,122,45
25,84,327,292,86,16,54,72,0.295,0.358,0.500,0.858,140,146
33,149,577,535,133,17,58,92,0.249,0.303,0.404,0.707,103,216
33,43,191,181,49,9,28,30,0.271,0.309,0.464,0.773,116,84
33,106,386,354,84,8,30,62,0.237,0.301,0.373,0.673,96,132
26,102,359,330,77,12,40,83,0.233,0.292,0.409,0.702,97,135
26,63,211,198,47,6,22,46,0.237,0.284,0.399,0.683,91,79
26,39,148,132,30,6,18,37,0.227,0.304,0.424,0.728,105,56
31,11,8,8,1,0,0,0,0.125,0.125,0.125,0.250,-28,1
30,93,402,361,80,6,45,71,0.222,0.291,0.338,0.629,75,122
26,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0,0
29,110,351,323,82,14,44,97,0.254,0.305,0.443,0.748,115,143
32,104,419,380,102,8,44,64,0.268,0.334,0.382,0.716,108,145
32,90,369,335,91,8,40,55,0.272,0.336,0.391,0.727,113,131
32,14,50,45,11,0,4,9,0.244,0.320,0.311,0.631,77,14
30,16,41,37,7,0,3,12,0.189,0.268,0.216,0.485,40,8
26,69,179,163,30,0,6,26,0.184,0.243,0.209,0.452,33,34
26,63,161,145,29,0,6,24,0.200,0.264,0.221,0.485,43,32
26,6,18,18,1,0,0,2,0.056,0.056,0.111,0.167,-53,2
30,14,47,40,11,0,3,9,0.275,0.370,0.275,0.645,87,11
23,17,36,35,6,0,2,7,0.171,0.194,0.257,0.452,30,9
23,14,27,27,6,0,2,5,0.222,0.222,0.333,0.556,60,9
23,3,9,8,0,0,0,2,0.000,0.111,0.000,0.111,-64,0
24,17,35,31,3,0,1,13,0.097,0.200,0.097,0.297,-11,3
30,150,629,543,128,31,87,196,0.236,0.332,0.459,0.791,129,249
36,89,298,266,65,14,42,83,0.244,0.315,0.451,0.767,114,120
27,24,74,65,18,5,16,26,0.277,0.365,0.554,0.919,159,36
23,58,220,208,49,5,25,54,0.236,0.277,0.365,0.643,83,76
20,9,35,33,7,1,2,9,0.212,0.257,0.333,0.590,57,11
27,142,531,483,126,4,48,72,0.261,0.314,0.327,0.642,84,158
25,7,22,18,2,1,6,3,0.111,0.182,0.278,0.460,28,5
27,89,363,336,92,4,47,68,0.274,0.325,0.375,0.700,105,126
20,5,14,12,2,1,1,4,0.167,0.286,0.500,0.786,121,6
28,161,706,630,170,26,107,133,0.270,0.339,0.449,0.788,125,283
26,93,299,289,70,6,31,65,0.242,0.264,0.381,0.645,87,110
30,75,292,271,62,8,36,58,0.229,0.277,0.358,0.635,78,97
26,118,473,438,97,14,47,157,0.221,0.273,0.365,0.638,81,160
26,70,280,263,56,9,28,104,0.213,0.254,0.350,0.603,73,92
26,48,193,175,41,5,19,53,0.234,0.301,0.389,0.689,93,68
